portion	naivProd	naivCons	fairProd	fairCons
0	2.093678E-4	9.480039999999999E-5	6.6966E-5	0.0059944816
1	1.067656E-4	0.0045185352	9.204080000000001E-5	1.2515739999999998E-4
2	1.029828E-4	0.0068904598	0.007581312400000001	0.0010810582
3	1.17197E-4	0.0231949932	5.360196E-4	0.0010488676000000002
4	9.0288E-5	0.013279777800000002	0.0020797052	0.0118196128
5	1.24538E-4	0.0026644002	0.0027117658	0.0014577066
6	1.1818480000000001E-4	0.022717274	8.2679E-5	0.009206959
7	1.017296E-4	0.020640809399999998	6.67212E-5	0.0028707582000000002
8	1.159242E-4	0.01841415	4.0342540000000004E-4	0.009019834
9	1.0967239999999999E-4	0.009131078800000001	0.0147748704	7.899280000000001E-5
