portion	naivProd	naivCons	fairProd	fairCons
0	7.476E-6	4.6748000000000005E-6	7.006024000000001E-4	0.005374146400000001
1	1.42898E-5	1.9269400000000002E-5	1.1394E-4	0.0028668636
2	2.45848E-5	1.85582E-5	0.0030712978	3.634472E-4
3	1.25772E-5	1.93082E-5	0.0032587874	0.0022269672000000003
4	3.3262E-5	1.9327799999999998E-5	0.0031226864	0.004454769599999999
5	1.9348200000000002E-5	1.59394E-5	0.0021349048	9.3166E-6
6	3.42006E-5	6.9496E-6	7.150342E-4	0.0017760426
7	3.6029800000000005E-5	1.11498E-5	0.0053217638	0.0036003157999999996
8	2.46364E-5	2.44486E-5	0.0030729942000000004	0.0038923032000000002
9	9.760600000000001E-6	6.039600000000001E-6	0.0063260104	0.0020918074
10	2.0822200000000002E-5	3.63714E-5	0.0019229796	8.528796E-4
11	6.6482E-6	1.2527E-5	0.0010012451999999999	0.0031626404
12	1.59356E-5	1.30688E-5	0.0070772878	0.0016840931999999999
13	3.8075999999999998E-6	3.2838000000000002E-6	7.17019E-4	0.0022012924
14	6.1474E-6	4.7474E-6	1.44164E-5	0.0045573848
15	8.2336E-6	1.448E-5	0.0034202268	0.0033972603999999997
16	2.7186E-6	2.40616E-5	8.839584E-4	0.006323632
17	3.5255999999999998E-6	2.00614E-5	0.0022687296	0.004502094
18	2.08676E-5	3.7156E-6	0.00103111	0.0026120566
19	2.0696799999999998E-5	1.0878600000000001E-5	0.0025411586	7.732828000000001E-4
20	1.478E-5	2.2516799999999998E-5	0.0025513762000000002	0.0027305782
21	2.38528E-5	5.14536E-5	0.0015323932	0.0013333802
22	2.00762E-5	1.16844E-5	0.0026669224	0.002164097
23	2.7175799999999998E-5	2.3533E-5	0.0014872988	0.0014564082
24	1.0895E-5	7.5134E-6	0.0029805852	8.738060000000001E-5
25	2.46118E-5	9.2246E-6	0.0019783024	0.006215511
26	1.6533599999999997E-5	1.57888E-5	0.0058055614	0.0032732174
27	9.6442E-6	8.5888E-6	0.0010435726	1.77932E-5
28	6.7014E-6	1.5504799999999998E-5	6.733E-6	9.591942E-4
29	1.6734799999999998E-5	8.0744E-6	0.0012995456	0.0049372782
30	1.26852E-5	1.24112E-5	0.002097841	0.0051156834
31	2.3831799999999998E-5	1.6382E-5	0.004363535	0.0019303704
32	4.500399999999999E-6	9.0602E-6	0.0082540784	0.0019884183999999997
33	3.3565999999999998E-6	2.4578E-5	0.0029392322	6.441922E-4
34	3.1962E-6	6.0052E-6	5.5619E-4	0.0043151294
35	8.5822E-6	8.4176E-6	3.197162E-4	0.0025585043999999998
36	5.945199999999999E-6	1.74402E-5	0.0045903764	0.0032494454
